               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12222,            0.030387,                   0,          7.7519e-05,           0.0089286,          3.9168e-05,          3.9168e-06,             0.11212,            0.027309,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.11287,            0.029681,                   0,          0.00023256,            0.026786,          0.00012349,          2.0275e-05,             0.10168,            0.026436,                   0,            0.084683,           0.0016832,           0.0016832
                   2,             0.10673,            0.029003,                   0,           0.0017054,             0.19643,           0.0013016,          0.00024884,            0.093777,            0.026059,                   0,            0.076549,           0.0025485,           0.0025485
                   3,              0.1006,            0.028786,                   0,           0.0054264,               0.625,            0.064306,            0.013717,            0.091772,            0.024033,                   0,            0.068396,            0.003396,            0.003396
                   4,            0.096442,            0.026366,                   0,             0.28678,              0.3339,             0.21296,            0.054238,            0.088739,             0.02207,                   0,            0.060226,           0.0042258,           0.0042258
                   5,            0.091917,            0.023305,                   0,             0.36508,             0.29464,             0.23412,            0.048842,            0.084409,            0.021047,                   0,            0.052038,           0.0050376,           0.0050376
                   6,             0.08824,             0.02325,                   0,             0.19637,             0.50617,             0.15548,            0.039308,            0.090766,            0.019166,                   0,            0.043832,           0.0058317,           0.0058317
                   7,            0.083763,            0.020634,                   0,             0.13828,             0.14286,            0.053085,           0.0090074,            0.090407,            0.016673,                   0,            0.035608,            0.006608,            0.006608
                   8,            0.081609,            0.018998,                   0,             0.29445,             0.58503,               0.291,            0.089076,            0.077882,            0.018582,                   0,            0.027366,           0.0073664,           0.0073664
                   9,            0.077535,            0.018429,                   0,            0.029902,             0.22321,            0.027379,           0.0052422,            0.089211,            0.016284,                   0,            0.019107,            0.008107,            0.008107
                  10,             0.08077,            0.018362,                   0,             0.31805,             0.47321,             0.26665,            0.059681,            0.063782,            0.018589,                   0,             0.01083,           0.0088298,           0.0088298
                  11,            0.073956,            0.019692,                   0,             0.18093,             0.46429,             0.13574,            0.035998,             0.07655,            0.020445,                   0,            0.008911,            0.008911,            0.008911
                  12,            0.073499,            0.018596,                   0,             0.23449,               0.625,             0.20207,            0.055682,            0.076827,            0.018426,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.067926,            0.018859,                   0,             0.27322,             0.67857,              0.2797,            0.069658,            0.070352,            0.017625,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.06533,            0.015901,                   0,             0.57803,             0.65179,             0.62751,             0.16438,            0.061861,             0.01762,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.063698,            0.017287,                   0,             0.31986,             0.46429,              0.3251,            0.093084,            0.075927,            0.017415,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.06319,            0.017665,                   0,             0.79807,             0.74107,             0.69216,             0.19676,            0.060448,            0.016996,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.06015,            0.015868,                   0,             0.41736,             0.53571,             0.38395,             0.11145,            0.061936,            0.015456,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.058132,            0.016241,                   0,              0.4779,             0.72321,             0.50061,             0.14632,            0.058758,            0.015927,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.057535,            0.015229,                   0,             0.62648,             0.68886,             0.59363,             0.18293,            0.059055,            0.014638,                   0,            0.008218,            0.008218,            0.008218
                  20,               0.055,            0.015255,                   0,             0.79177,             0.72321,             0.76426,             0.24345,            0.051798,            0.014583,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.053728,            0.014934,                   0,             0.49215,             0.54464,             0.45109,             0.13443,            0.062794,            0.014716,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.054393,            0.014051,                   0,             0.79828,             0.76786,             0.78656,             0.25305,            0.050482,            0.014521,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.052726,            0.015429,                   0,             0.81511,             0.69643,             0.70876,              0.2465,            0.054905,            0.014767,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.052016,            0.013267,                   0,             0.83116,              0.6875,             0.75308,             0.30006,            0.049477,            0.014143,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.050663,            0.013813,                   0,             0.81562,             0.76786,             0.76315,              0.2412,            0.052953,            0.014174,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.050346,            0.013646,                   0,             0.68623,             0.66071,             0.62079,             0.20022,            0.051641,            0.014523,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.049686,            0.012997,                   0,             0.82724,             0.77679,             0.77235,             0.24547,            0.050062,            0.013558,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.047822,            0.013535,                   0,             0.77635,             0.69643,              0.6828,             0.24819,            0.054248,            0.013247,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.049828,            0.012519,                   0,             0.85986,              0.8125,             0.83438,             0.26389,            0.048672,             0.01355,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.048508,            0.013657,                   0,             0.88019,             0.78571,             0.80721,             0.26071,            0.054239,             0.01327,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.047291,             0.01355,                   0,             0.78536,             0.83929,             0.79762,             0.29513,            0.048839,            0.013354,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.049618,            0.013534,                   0,             0.76642,             0.78571,             0.74824,             0.25522,            0.050436,            0.013152,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.046399,              0.0124,                   0,             0.82719,             0.78571,             0.77205,             0.28558,             0.04814,            0.013288,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.047741,            0.013383,                   0,             0.88372,             0.76786,             0.81556,             0.30882,            0.048361,            0.013379,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.04411,            0.013186,                   0,              0.8495,             0.80638,             0.80017,             0.28324,            0.050106,            0.013226,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.043797,            0.013418,                   0,             0.81867,             0.73214,             0.73606,             0.24113,            0.056976,            0.013095,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.044892,            0.012823,                   0,             0.76976,             0.76786,             0.76165,             0.26441,            0.050372,             0.01388,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.041739,            0.013034,                   0,             0.78879,             0.73361,             0.75041,             0.28117,            0.052465,            0.013078,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.041365,            0.013137,                   0,             0.73847,             0.80678,             0.72556,             0.26238,            0.051056,            0.013003,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.044259,            0.013211,                   0,             0.90691,             0.82143,             0.87441,             0.30941,            0.045902,            0.012411,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.042429,            0.012187,                   0,             0.85178,                0.75,             0.80423,             0.32209,            0.047484,            0.012288,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.039673,            0.012612,                   0,             0.82885,             0.77834,              0.8093,             0.29241,            0.048303,             0.01263,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.042274,            0.012262,                   0,             0.81561,             0.65179,             0.72422,             0.27944,            0.049755,            0.012764,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.040208,            0.012765,                   0,             0.87793,             0.71429,             0.80217,             0.31743,            0.045591,            0.012734,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.040549,            0.012244,                   0,             0.87148,             0.73214,             0.80658,              0.3257,            0.046721,            0.012675,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.038316,             0.01212,                   0,             0.83447,             0.80357,             0.82737,             0.30562,            0.045624,            0.012875,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.038447,            0.011276,                   0,             0.76232,             0.74107,             0.75799,             0.28434,            0.050337,             0.01291,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.038516,            0.011686,                   0,             0.91624,             0.78137,             0.82701,             0.30077,            0.046837,            0.013062,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.038272,            0.012139,                   0,             0.90587,             0.77336,             0.81337,             0.32099,            0.048927,            0.012814,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.039909,            0.011935,                   0,             0.91563,             0.77522,             0.82973,             0.31403,             0.04789,            0.013103,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.037773,            0.011948,                   0,             0.91738,             0.79312,             0.86174,             0.34624,            0.047158,            0.012864,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.035479,             0.01118,                   0,             0.92257,             0.83929,             0.89346,             0.34027,            0.046297,            0.012843,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.036617,            0.011109,                   0,             0.90798,             0.77679,             0.84675,             0.31945,            0.046593,            0.012855,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.034861,            0.010883,                   0,             0.95776,             0.83036,             0.88584,             0.34197,            0.045337,            0.012455,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.035326,            0.011552,                   0,             0.93523,             0.83929,             0.89106,              0.3367,            0.045123,            0.012283,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.035047,            0.012132,                   0,             0.86194,             0.79464,             0.84402,             0.32074,            0.047654,            0.012146,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.036249,            0.011455,                   0,             0.89168,             0.83929,             0.88554,             0.33752,            0.046105,            0.012296,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.035751,            0.011019,                   0,             0.89256,             0.83929,              0.8901,             0.34166,            0.044919,            0.012353,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.034167,            0.011044,                   0,             0.89953,             0.83929,             0.86872,             0.34184,            0.045225,            0.012249,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.034075,            0.011618,                   0,             0.85023,             0.86173,             0.87656,             0.34196,            0.047092,            0.012154,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.034101,            0.011674,                   0,             0.88981,             0.82143,             0.86214,              0.3449,            0.047066,            0.012364,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.034207,             0.01078,                   0,             0.83992,              0.8125,             0.83643,             0.33625,            0.048096,            0.012447,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.033409,            0.010705,                   0,             0.89038,             0.82143,              0.8693,             0.34654,            0.046246,            0.012949,                   0,            0.003862,            0.003862,            0.003862
                  64,              0.0323,            0.011407,                   0,             0.90837,              0.7966,              0.8641,             0.33552,            0.047219,            0.012833,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.032055,            0.011258,                   0,             0.89853,             0.79064,             0.84551,             0.34395,            0.045857,            0.012897,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.03238,            0.011168,                   0,             0.88382,             0.82143,             0.86534,             0.33919,            0.045554,            0.012601,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.031108,             0.01182,                   0,             0.87429,             0.78571,             0.84346,             0.31845,            0.046654,            0.012489,                   0,            0.003466,            0.003466,            0.003466
