               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.048668,            0.014852,                   0,             0.88816,             0.70536,             0.81407,              0.3115,             0.04767,             0.01235,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.04907,            0.014204,                   0,             0.90059,             0.66964,             0.78691,             0.29474,            0.047929,            0.012134,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.050791,            0.013464,                   0,             0.86101,             0.82143,             0.85065,             0.30859,            0.046721,             0.01207,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.046219,            0.014279,                   0,             0.84361,             0.77061,             0.80268,             0.29243,             0.04613,             0.01222,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.046202,            0.013482,                   0,             0.92075,             0.74107,              0.8071,             0.25723,            0.047132,            0.012046,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.046305,            0.014413,                   0,             0.88841,             0.76786,             0.81869,             0.28563,            0.045815,            0.012084,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.046794,            0.013521,                   0,             0.86789,             0.74107,             0.80499,             0.26807,             0.04713,            0.012116,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.045971,            0.013777,                   0,             0.81736,             0.70536,              0.7616,             0.28532,            0.046473,            0.012206,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.043052,            0.013037,                   0,              0.8537,             0.78155,             0.83666,             0.29285,            0.047775,            0.012015,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.045713,             0.01341,                   0,             0.83887,             0.83672,             0.85349,             0.29192,            0.048349,            0.011981,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.044509,            0.013218,                   0,             0.84293,             0.66964,             0.77954,              0.2768,            0.048188,            0.012136,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.044338,            0.013697,                   0,             0.88535,             0.75843,             0.83825,             0.29854,            0.048795,            0.012003,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.042902,            0.013201,                   0,             0.94433,             0.79464,             0.87426,             0.31851,             0.04703,            0.011953,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.043753,            0.012987,                   0,             0.91027,             0.78571,             0.85135,             0.32383,            0.046293,            0.012078,                   0,            0.004951,            0.004951,            0.004951
