               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12952,            0.026511,                   0,           0.0003876,            0.044643,           0.0006392,          7.2244e-05,             0.12248,            0.018604,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.12156,            0.026284,                   0,          0.00054264,              0.0625,          0.00033399,          5.4373e-05,             0.11561,            0.018471,                   0,            0.090089,           0.0010891,           0.0010891
                   2,             0.11535,            0.026701,                   0,             0.10496,           0.0089286,           0.0027917,          0.00030732,             0.10861,            0.019367,                   0,            0.084666,           0.0016663,           0.0016663
                   3,             0.10795,            0.026688,                   0,            0.044474,             0.11607,            0.017213,           0.0029314,             0.10075,            0.018116,                   0,            0.079232,           0.0022317,           0.0022317
                   4,             0.10361,             0.02534,                   0,             0.13775,             0.17857,            0.067811,            0.011771,             0.10021,            0.016464,                   0,            0.073785,           0.0027852,           0.0027852
                   5,            0.099283,            0.023301,                   0,             0.23816,              0.3125,             0.15275,            0.029594,            0.091986,            0.016899,                   0,            0.068327,           0.0033267,           0.0033267
                   6,            0.093382,            0.020995,                   0,             0.23719,             0.32143,             0.17567,            0.048159,            0.090498,            0.014362,                   0,            0.062856,           0.0038565,           0.0038565
                   7,            0.088221,             0.02153,                   0,             0.22871,             0.29464,             0.17411,              0.0455,            0.087624,            0.014532,                   0,            0.057374,           0.0043743,           0.0043743
                   8,            0.083219,            0.020128,                   0,             0.27314,             0.39286,             0.18485,            0.048493,            0.085335,            0.013548,                   0,             0.05188,           0.0048802,           0.0048802
                   9,            0.079727,            0.020796,                   0,             0.16577,             0.33929,               0.118,             0.02488,            0.079728,            0.014522,                   0,            0.046374,           0.0053743,           0.0053743
                  10,            0.077052,            0.019785,                   0,             0.19717,             0.27679,             0.13319,            0.031468,            0.085799,            0.012243,                   0,            0.040857,           0.0058565,           0.0058565
                  11,            0.074776,            0.019787,                   0,             0.23331,             0.49178,             0.20605,            0.057863,            0.069941,            0.014789,                   0,            0.035327,           0.0063268,           0.0063268
                  12,            0.074196,            0.019699,                   0,            0.079996,             0.35714,            0.056356,            0.011882,            0.084958,            0.014226,                   0,            0.029785,           0.0067852,           0.0067852
                  13,             0.07459,            0.019026,                   0,             0.36448,             0.52679,             0.32758,             0.11019,            0.073078,            0.013576,                   0,            0.024232,           0.0072318,           0.0072318
                  14,            0.071998,            0.020269,                   0,             0.17346,             0.38393,             0.12796,             0.02856,            0.078107,            0.012227,                   0,            0.018666,           0.0076665,           0.0076665
                  15,            0.072951,            0.018795,                   0,             0.41609,             0.59821,             0.38942,             0.11226,            0.066327,             0.01316,                   0,            0.013089,           0.0080892,           0.0080892
                  16,            0.068122,            0.017607,                   0,             0.40146,             0.50893,              0.4096,             0.10411,            0.067452,            0.012656,                   0,            0.008416,            0.008416,            0.008416
                  17,            0.065627,            0.017556,                   0,             0.37707,             0.64856,             0.37927,             0.11549,            0.067839,            0.012438,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.065358,            0.018783,                   0,             0.40165,             0.62933,             0.37981,            0.098972,            0.074237,            0.012531,                   0,            0.008317,            0.008317,            0.008317
                  19,              0.0608,            0.018294,                   0,              0.4561,             0.57143,             0.41951,               0.139,            0.063282,            0.013407,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.060916,            0.016386,                   0,              0.4174,              0.6875,             0.38668,             0.10188,             0.06767,            0.013786,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.060042,            0.017429,                   0,             0.31144,             0.54519,             0.27944,            0.083061,            0.067742,            0.014141,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.059187,            0.015314,                   0,             0.58712,             0.64286,             0.53192,             0.13939,            0.066676,            0.012239,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.059874,            0.016372,                   0,             0.54207,              0.5625,             0.48593,             0.15224,            0.057944,            0.012939,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.057363,            0.015455,                   0,             0.75133,             0.70536,              0.6889,             0.21984,            0.054528,            0.012365,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.054446,            0.015908,                   0,             0.46015,             0.55357,             0.41316,             0.12486,            0.064816,             0.01226,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.057016,            0.015894,                   0,             0.79305,             0.74107,             0.70779,             0.19177,            0.055499,            0.011296,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.053911,            0.014847,                   0,             0.54584,              0.6546,             0.56094,             0.20202,            0.054628,            0.011175,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.054987,            0.014486,                   0,              0.8373,             0.78114,             0.79772,             0.26731,            0.051934,            0.010795,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.049832,             0.01439,                   0,             0.77219,             0.66071,             0.72675,             0.23152,            0.055131,            0.010948,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.050705,            0.013503,                   0,             0.77391,             0.80357,             0.75104,             0.26836,            0.051111,            0.010913,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.049776,            0.013081,                   0,             0.72658,             0.73556,             0.72681,             0.24674,            0.050716,            0.010532,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.047487,            0.014059,                   0,             0.83405,             0.79464,             0.77931,             0.29722,            0.050843,            0.010821,                   0,            0.006931,            0.006931,            0.006931
