               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12934,            0.032704,                   0,          0.00023256,            0.026786,          0.00012187,          1.6335e-05,             0.12432,            0.023575,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.12346,            0.029202,                   0,           0.0014586,            0.017857,          0.00064861,          8.4695e-05,             0.11586,            0.021404,                   0,            0.090089,           0.0010891,           0.0010891
                   2,             0.11723,            0.027723,                   0,          0.00085271,            0.098214,          0.00081246,          0.00015947,              0.1097,            0.020248,                   0,            0.084666,           0.0016663,           0.0016663
                   3,             0.11032,            0.026978,                   0,           0.0010853,               0.125,           0.0012267,          0.00024213,             0.10433,            0.019773,                   0,            0.079232,           0.0022317,           0.0022317
                   4,             0.10595,            0.026638,                   0,            0.012187,             0.14286,           0.0090761,           0.0021178,             0.10048,            0.018169,                   0,            0.073785,           0.0027852,           0.0027852
                   5,             0.10027,             0.02556,                   0,             0.06351,            0.089286,            0.034817,           0.0068881,            0.098554,            0.016914,                   0,            0.068327,           0.0033267,           0.0033267
                   6,            0.096178,            0.023353,                   0,             0.13245,             0.33036,            0.087154,             0.01988,            0.088275,            0.018406,                   0,            0.062856,           0.0038565,           0.0038565
                   7,            0.093905,            0.022413,                   0,              0.2312,             0.30357,             0.15975,            0.032494,            0.089223,            0.018026,                   0,            0.057374,           0.0043743,           0.0043743
                   8,             0.08836,             0.01963,                   0,             0.25124,             0.35714,             0.18381,            0.039216,             0.10171,            0.014436,                   0,             0.05188,           0.0048802,           0.0048802
                   9,            0.086946,            0.019854,                   0,             0.27663,             0.33929,             0.19186,            0.039117,            0.094613,            0.012634,                   0,            0.046374,           0.0053743,           0.0053743
                  10,            0.084367,            0.019064,                   0,             0.24186,             0.29464,             0.17256,            0.045209,            0.086118,            0.013182,                   0,            0.040857,           0.0058565,           0.0058565
                  11,            0.085182,            0.018339,                   0,            0.046809,             0.17857,            0.029355,           0.0057313,            0.088902,            0.011397,                   0,            0.035327,           0.0063268,           0.0063268
                  12,             0.08071,            0.018109,                   0,             0.14629,             0.23214,            0.092825,             0.02071,            0.080166,            0.012764,                   0,            0.029785,           0.0067852,           0.0067852
                  13,            0.076084,            0.018194,                   0,             0.13614,             0.38393,             0.11055,            0.026356,            0.084647,            0.011681,                   0,            0.024232,           0.0072318,           0.0072318
                  14,            0.075338,            0.019378,                   0,             0.37904,             0.49107,             0.37655,             0.10908,            0.069694,             0.01316,                   0,            0.018666,           0.0076665,           0.0076665
                  15,            0.074663,            0.018846,                   0,             0.33032,             0.54464,             0.30526,            0.070026,            0.086068,            0.011458,                   0,            0.013089,           0.0080892,           0.0080892
                  16,            0.076925,            0.017751,                   0,             0.16905,             0.45536,             0.14754,             0.03369,            0.073172,            0.012264,                   0,            0.008416,            0.008416,            0.008416
                  17,            0.073906,            0.017891,                   0,              0.2733,             0.46004,             0.22059,            0.053155,            0.078545,            0.011155,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.067258,            0.018797,                   0,              0.4186,             0.57143,             0.39825,             0.10406,            0.067587,            0.012835,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.066839,            0.018534,                   0,             0.44843,             0.47321,             0.33518,              0.1023,            0.068386,            0.012028,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.061918,            0.017387,                   0,             0.42763,             0.56036,             0.38232,            0.099374,            0.065896,            0.011957,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.06361,            0.017997,                   0,              0.3034,             0.45536,              0.2391,             0.06594,            0.070032,            0.012077,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.061596,            0.016278,                   0,             0.60538,             0.57143,             0.58603,             0.14177,            0.069065,            0.012005,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.062239,            0.017075,                   0,             0.72717,             0.67857,             0.68708,             0.21179,            0.057094,            0.011372,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.059314,            0.017061,                   0,             0.58648,             0.69643,             0.55844,             0.18176,            0.061607,            0.011832,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.058362,             0.01657,                   0,             0.32189,             0.45775,             0.26474,            0.064641,            0.070772,            0.011981,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.059869,            0.016805,                   0,             0.78437,             0.67857,               0.718,             0.19777,            0.056724,            0.011339,                   0,            0.007525,            0.007525,            0.007525
