               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.045215,            0.014026,                   0,              0.8935,              0.7491,             0.84424,              0.3025,            0.047282,            0.011965,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.047619,            0.013468,                   0,             0.85514,             0.73791,              0.8109,             0.30105,            0.045762,            0.011971,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.048401,            0.012835,                   0,             0.89461,               0.875,             0.88953,             0.34439,            0.044867,            0.012011,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.042763,            0.013404,                   0,             0.85296,             0.83036,             0.82415,             0.32203,            0.044371,            0.012189,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.043162,            0.012686,                   0,             0.87788,             0.85714,             0.86902,             0.28807,            0.046304,            0.011966,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.043008,            0.013591,                   0,              0.9013,             0.86607,             0.89025,             0.34814,            0.043916,            0.011981,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.041864,            0.012846,                   0,             0.91472,             0.85714,             0.89232,              0.3422,            0.043482,            0.011888,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.043339,            0.013035,                   0,              0.8643,             0.82143,             0.84575,             0.31657,            0.044374,            0.012192,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040354,            0.012447,                   0,             0.87706,             0.83929,             0.84856,             0.34693,            0.044701,            0.012208,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.042307,            0.012551,                   0,             0.86163,             0.83396,              0.8367,             0.30974,            0.044795,            0.012178,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.041434,            0.012455,                   0,             0.88683,             0.82143,             0.86615,             0.35197,            0.044282,            0.012151,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.041496,             0.01294,                   0,             0.92996,             0.79464,             0.85979,             0.32985,            0.044634,            0.012359,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.039811,            0.012502,                   0,             0.89087,                0.75,             0.84055,             0.33496,            0.045455,            0.011843,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.041351,            0.012231,                   0,             0.88923,             0.78849,             0.85023,             0.32998,            0.045485,            0.012041,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.041153,            0.011899,                   0,             0.86577,             0.72321,             0.79971,             0.27144,            0.047771,            0.012048,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.037612,            0.011709,                   0,             0.93257,             0.77679,             0.84941,             0.31887,            0.048167,            0.011941,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.039733,            0.012245,                   0,              0.9528,              0.8125,             0.86348,             0.33762,            0.043868,            0.011995,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.038988,            0.012631,                   0,              0.9415,             0.80357,              0.8478,             0.35632,            0.043165,            0.011968,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.039005,            0.012114,                   0,             0.94591,             0.82143,             0.89566,             0.34358,            0.043787,            0.011727,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.038199,            0.011959,                   0,             0.93323,             0.83929,             0.88269,             0.33788,            0.043785,            0.011866,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.037822,            0.011649,                   0,             0.88622,             0.83456,             0.89362,             0.35019,            0.043995,            0.011838,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.036768,            0.012352,                   0,             0.85127,             0.88393,             0.90218,             0.35059,            0.043404,            0.011667,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.03732,            0.012622,                   0,             0.86961,             0.83371,             0.87435,             0.34702,            0.044107,            0.011703,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.037591,            0.011809,                   0,             0.89034,             0.79464,             0.85858,             0.31975,            0.046348,             0.01169,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.037038,            0.011979,                   0,             0.82793,             0.85924,             0.86081,             0.31561,            0.045701,            0.011661,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.035957,            0.012219,                   0,             0.93681,             0.79421,             0.87687,             0.33241,            0.044695,            0.011775,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.036161,            0.012177,                   0,             0.92804,             0.83929,             0.89578,             0.34557,            0.044946,            0.011687,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.035752,            0.012242,                   0,              0.9031,              0.8125,             0.88674,             0.33542,            0.045962,            0.011464,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.034583,            0.012838,                   0,             0.93164,             0.85185,             0.89098,             0.34797,            0.044082,            0.011638,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.033867,            0.011487,                   0,             0.92379,             0.83036,             0.89226,             0.36263,            0.043711,            0.011435,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.035152,            0.011665,                   0,              0.8989,             0.79384,             0.87467,             0.33098,            0.046169,             0.01138,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.034329,            0.011716,                   0,             0.91757,             0.79506,             0.88186,             0.34588,             0.04415,            0.011579,                   0,            0.003169,            0.003169,            0.003169
