               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12198,            0.030426,                   0,          7.7519e-05,           0.0089286,          3.9174e-05,          3.9174e-06,             0.11214,            0.025339,                   0,               0.091,               0.001,               0.001
                   1,             0.11196,             0.02978,                   0,          0.00023256,            0.026786,          0.00012265,           2.416e-05,             0.10442,            0.024464,                   0,            0.081079,           0.0020792,           0.0020792
                   2,               0.107,            0.028826,                   0,           0.0020155,             0.23214,           0.0015664,          0.00031268,             0.10041,            0.023529,                   0,            0.071137,           0.0031366,           0.0031366
                   3,             0.10322,            0.028112,                   0,             0.21528,             0.17857,            0.070165,            0.013813,             0.10145,            0.020042,                   0,            0.061172,           0.0041723,           0.0041723
                   4,            0.096313,            0.025613,                   0,             0.20186,               0.375,             0.16876,            0.032803,            0.090933,            0.019114,                   0,            0.051186,           0.0051862,           0.0051862
                   5,            0.092801,            0.022917,                   0,             0.50716,             0.30357,             0.30429,            0.085159,            0.085726,            0.018801,                   0,            0.041178,           0.0061782,           0.0061782
                   6,            0.088905,             0.02188,                   0,             0.17238,             0.34821,             0.11752,            0.024739,            0.086396,            0.017584,                   0,            0.031149,           0.0071486,           0.0071486
                   7,             0.08711,            0.020269,                   0,             0.15574,               0.375,             0.11856,            0.030329,            0.082478,            0.016635,                   0,            0.021097,           0.0080971,           0.0080971
                   8,            0.082026,            0.019379,                   0,             0.15176,             0.28571,             0.10547,            0.023183,            0.088022,            0.014998,                   0,            0.011024,           0.0090238,           0.0090238
                   9,            0.075631,            0.019214,                   0,             0.22471,             0.24107,             0.14878,            0.038122,             0.07472,            0.017401,                   0,            0.009109,            0.009109,            0.009109
                  10,            0.079703,            0.018758,                   0,             0.42351,             0.53571,             0.41072,             0.12305,            0.069976,            0.016681,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.070202,            0.019458,                   0,             0.31206,             0.27679,             0.17134,            0.038637,            0.072882,            0.018367,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.072383,            0.018025,                   0,             0.45158,             0.50893,             0.42326,            0.089531,            0.076773,            0.016196,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.068337,             0.01903,                   0,             0.51831,               0.625,              0.5341,             0.14147,            0.061722,            0.017096,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.064463,            0.016501,                   0,             0.37119,             0.56396,             0.39343,             0.12532,            0.063897,            0.015859,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.061515,            0.017003,                   0,             0.30614,             0.61849,             0.28447,            0.070701,            0.066343,            0.017518,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.061964,            0.017887,                   0,             0.55891,             0.69643,             0.57064,             0.16009,            0.062565,            0.016073,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.061592,            0.015492,                   0,             0.65938,             0.69138,              0.6498,             0.18716,            0.060226,            0.014814,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.059332,            0.015902,                   0,             0.52845,             0.75044,             0.53953,              0.1777,            0.059173,            0.014472,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.059712,            0.014945,                   0,             0.56364,             0.77679,              0.5341,             0.18384,            0.057654,            0.013556,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.05491,            0.014706,                   0,             0.48907,             0.69228,             0.47411,             0.15602,            0.058424,            0.013148,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.056452,            0.015083,                   0,             0.76127,             0.65179,             0.68398,             0.22929,            0.052622,            0.013204,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.054889,             0.01382,                   0,             0.76782,             0.70865,             0.67336,             0.19959,            0.054946,            0.012853,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.053171,            0.015024,                   0,             0.52052,             0.66071,             0.46007,             0.14449,            0.056991,             0.01269,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.05342,            0.014083,                   0,             0.66721,             0.71606,             0.63023,             0.18685,            0.051684,            0.012792,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.051621,            0.014006,                   0,             0.79469,             0.75893,             0.75474,             0.27408,            0.050917,            0.012675,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.048851,            0.013901,                   0,             0.88253,             0.80496,             0.84501,             0.31511,            0.048871,            0.012134,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.051545,            0.013392,                   0,             0.82119,             0.77909,             0.78592,             0.26685,            0.048192,            0.012392,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.049414,            0.013645,                   0,             0.74235,             0.72321,              0.6858,             0.23079,            0.050345,            0.012365,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.049911,            0.012649,                   0,             0.80834,                0.75,             0.77776,             0.25733,             0.04877,            0.012666,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.048667,            0.013726,                   0,             0.87563,             0.82143,             0.81647,             0.30713,            0.047892,            0.012165,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.046624,            0.013489,                   0,             0.86826,             0.88393,             0.88072,             0.32845,            0.051103,            0.012163,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.050359,            0.013914,                   0,             0.87363,             0.84821,             0.87337,             0.32298,            0.046587,            0.012214,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.046139,            0.012287,                   0,             0.79886,             0.86607,             0.79945,             0.30722,            0.047836,            0.012121,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.045155,            0.013806,                   0,             0.82254,             0.75893,             0.84098,             0.31784,            0.049373,            0.011983,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.046178,            0.013405,                   0,             0.91796,             0.82143,             0.87507,             0.31734,            0.047741,            0.012002,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.046281,            0.013551,                   0,             0.91839,             0.82143,             0.86471,             0.31086,            0.046765,            0.011955,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.047091,            0.012909,                   0,             0.83507,             0.74107,             0.74057,             0.26756,            0.048447,            0.011946,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.041999,            0.012986,                   0,             0.81238,                0.75,             0.76037,              0.2464,            0.051638,            0.011633,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.044431,            0.013398,                   0,             0.82341,             0.78571,             0.79617,             0.27331,            0.048495,            0.011568,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.043754,            0.012974,                   0,             0.76459,             0.76786,             0.74642,             0.26767,            0.047718,            0.011679,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.045748,            0.012281,                   0,             0.83479,             0.83929,             0.79533,              0.2716,            0.047779,             0.01158,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.041583,             0.01282,                   0,             0.88268,             0.83036,             0.81638,             0.30715,            0.047399,            0.011685,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.042886,            0.012173,                   0,             0.85412,             0.78571,             0.83736,             0.30668,            0.047035,              0.0117,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.041551,            0.012967,                   0,              0.7682,              0.8125,             0.79233,             0.27799,            0.049811,             0.01182,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.040482,            0.012374,                   0,             0.80997,             0.80357,             0.81137,             0.30957,            0.046571,            0.011899,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.040029,            0.012533,                   0,             0.86072,             0.83929,             0.84711,             0.29628,            0.045498,            0.011942,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.039737,            0.011894,                   0,             0.88237,             0.80369,             0.84324,             0.32041,            0.045427,            0.011767,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.039351,            0.012147,                   0,             0.89014,             0.82143,             0.83988,             0.32019,            0.045204,            0.011712,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.03995,            0.011937,                   0,             0.83623,             0.82065,             0.83526,             0.31427,             0.04897,            0.011577,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.038887,            0.012278,                   0,             0.81017,             0.82143,             0.81108,             0.30088,            0.046401,              0.0116,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.037898,            0.011943,                   0,             0.87109,             0.78436,             0.82214,              0.2886,            0.048037,            0.011598,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.038964,            0.011586,                   0,             0.91943,             0.81511,             0.87542,             0.33146,            0.045024,             0.01178,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.038176,            0.011284,                   0,             0.84396,             0.76786,             0.82043,             0.31427,            0.047372,            0.011686,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.036725,             0.01119,                   0,             0.86122,             0.77571,             0.84068,             0.33626,            0.045296,            0.011539,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.037345,            0.011625,                   0,              0.8753,             0.83036,             0.83828,             0.32157,            0.044918,            0.011557,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.037023,            0.012149,                   0,             0.90004,             0.84821,             0.87826,             0.32791,            0.044506,            0.011575,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.036679,            0.011654,                   0,             0.88834,             0.83929,             0.87214,             0.33793,            0.046612,            0.011588,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.03685,            0.011416,                   0,             0.85234,             0.87616,             0.87335,             0.34923,            0.043915,            0.011539,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.03385,            0.011142,                   0,              0.8684,             0.82484,             0.84711,             0.31441,            0.045958,            0.011649,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.034823,            0.011785,                   0,             0.84689,             0.79022,              0.8398,             0.30543,            0.047308,            0.011775,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.035797,            0.012208,                   0,             0.87325,             0.80357,             0.82947,             0.32622,            0.045734,             0.01193,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.03527,            0.011393,                   0,             0.84797,             0.79683,             0.83696,             0.28864,            0.047242,            0.012034,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.033472,            0.011448,                   0,             0.85398,             0.85714,             0.85198,             0.29713,            0.044959,            0.011823,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.033167,            0.011635,                   0,             0.87209,             0.82143,             0.81822,             0.31671,            0.044163,            0.011858,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.034049,             0.01166,                   0,             0.86787,             0.82105,             0.84775,             0.32964,            0.044328,            0.011712,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.033047,            0.011494,                   0,             0.86575,             0.80611,             0.85674,             0.34748,            0.043753,            0.011517,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.03265,            0.012217,                   0,             0.88013,             0.85228,             0.85935,             0.32467,            0.044725,            0.011467,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.031561,            0.010662,                   0,              0.8684,             0.84821,             0.87211,             0.33587,            0.044996,            0.011399,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.03335,            0.011175,                   0,             0.88923,             0.83036,             0.85979,             0.32828,            0.046642,            0.011387,                   0,            0.003268,            0.003268,            0.003268
